City,ILR,discount_rate,Initial_invest,NPV,IRR,npv_over_I,ppa_eur_mwh,module_factor,module_reduction_pct
Ljubljana,1.66,0.0788,33093375.0,-9403513.942731319,0.042931718521679096,-0.28415094993276807,35,0.55,44.99999999999999
Ljubljana,1.71,0.0788,33715500.0,-9606567.503447045,0.042824178931442525,-0.2849302992228217,35,0.55,44.99999999999999
Ljubljana,1.76,0.0788,34335000.0,-9825352.07715218,0.04265484737009251,-0.2861614118873505,35,0.55,44.99999999999999
Ljubljana,1.8,0.0788,34954500.0,-10062642.212166687,0.042418897220727114,-0.28787830500126416,35,0.55,44.99999999999999
Ljubljana,1.85,0.0788,35574000.0,-10317641.698246982,0.04212263378104564,-0.29003321803134263,35,0.55,44.99999999999999
Ljubljana,1.9,0.0788,36196125.0,-10591955.822762622,0.04176568857239271,-0.29262678871737297,35,0.55,44.99999999999999
Ljubljana,1.95,0.0788,36815625.0,-10877488.125582058,0.04137534245158747,-0.295458467038983,35,0.55,44.99999999999999
Ljubljana,1.99,0.0788,37435125.0,-11177402.899629012,0.04094416279133606,-0.29858062179915285,35,0.55,44.99999999999999
Ljubljana,2.04,0.0788,38057250.0,-11493871.99136153,0.04046882010297348,-0.3020153056608539,35,0.55,44.99999999999999
Ljubljana,2.09,0.0788,38676750.0,-11818687.954187203,0.039974849897539855,-0.305576036098876,35,0.55,44.99999999999999
Ljubljana,2.13,0.0788,39296250.0,-12154800.364791112,0.039455266541310374,-0.30931196653093135,35,0.55,44.99999999999999
Ljubljana,2.18,0.0788,39915750.0,-12502401.302712241,0.0389103225387788,-0.31321975166976046,35,0.55,44.99999999999999
Ljubljana,2.23,0.0788,40537875.0,-12864682.32102856,0.03833275529070934,-0.3173496963279047,35,0.55,44.99999999999999
Ljubljana,2.28,0.0788,41157375.0,-13233848.769713882,0.037744603818012035,-0.32154258549564646,35,0.55,44.99999999999999
Ljubljana,2.32,0.0788,41776875.0,-13612653.440151956,0.03713964831518135,-0.3258418309208613,35,0.55,44.99999999999999
