City,ILR,ILR_ref_for_city,PAC_MW,PDC_MWp,AC_energy_MWh,AC_energy_MWh_ILR_1_0,AC_energy_delta_MWh,DC_energy_MWh,clipping_energy_MWh,energy_increase_percentage,energy_loss_to_inverter
Tallinn,1.38,1.0,50.05,69.0,63659.334324434065,47502.297630253575,16157.03669418049,66778.02816112713,-1893.7874323885114,34.013168836469696,-3.066090284440438
Tallinn,1.43,1.0,50.05,71.36,65424.059561538976,47502.297630253575,17921.7619312854,69064.94693376846,-2384.8173966404074,37.728200161567074,-3.7830679981878315
Tallinn,1.47,1.0,50.05,73.72,67139.55050049236,47502.297630253575,19637.252870238786,71351.86570640982,-2924.909321393255,41.339585346145626,-4.554894752484063
Tallinn,1.52,1.0,50.05,76.08,68806.86238727681,47502.297630253575,21304.564757023232,73638.78447905114,-3513.1903089597495,44.849545853240244,-5.380598451785378
Tallinn,1.57,1.0,50.05,78.45,70428.0853496476,47502.297630253575,22925.78771939403,75925.70325169248,-4147.404114618875,48.26248173897362,-6.257334772876488
Tallinn,1.61,1.0,50.05,80.81,72004.5197260275,47502.297630253575,24502.222095773926,78212.62202433383,-4826.356830734851,51.58113042550765,-7.1844132419302085
Tallinn,1.66,1.0,50.05,83.17,73537.89116986575,47502.297630253575,26035.59353961217,80499.54079697515,-5548.342297329624,54.8091246917506,-8.160581132449368
Tallinn,1.71,1.0,50.05,85.54,75028.58168050242,47502.297630253575,27526.284050248847,82786.45956961649,-6313.074650351548,57.94726870794082,-9.18726343324733
Tallinn,1.76,1.0,50.05,87.9,76477.20090363522,47502.297630253575,28974.90327338165,85073.37834225783,-7119.672982072074,60.99684587662539,-10.26517696842332
Tallinn,1.8,1.0,50.05,90.26,77886.56238460986,47502.297630253575,30384.264754356285,87360.29711489921,-7965.597838412447,63.96377916466288,-11.392288264486833
Tallinn,1.85,1.0,50.05,92.62,79257.0565044226,47502.297630253575,31754.75887416902,89647.21588754051,-8850.286305799522,66.84889038703012,-12.570220563778403
Tallinn,1.9,1.0,50.05,94.99,80591.83671784707,47502.297630253575,33089.53908759349,91934.13466018187,-9770.492213022908,69.65881807476867,-13.795971089418343
Tallinn,1.95,1.0,50.05,97.35,81891.27231403923,47502.297630253575,34388.97468378566,94221.05343282317,-10726.080175361241,72.39433964112881,-15.072087706107185
Tallinn,1.99,1.0,50.05,99.71,83156.40020271335,47502.297630253575,35654.10257245978,96507.97220546454,-11716.043848291189,75.05763794834243,-16.39975560895416
Tallinn,2.04,1.0,50.05,102.08,84389.04988100815,47502.297630253575,36886.75225075457,98794.89097810588,-12738.261315665288,77.65256438303712,-17.77825697486702
Tallinn,2.09,1.0,50.05,104.44,85592.49184312814,47502.297630253575,38090.194212874565,101081.80975074721,-13789.472046227465,80.18600386313825,-19.204585106910336
Tallinn,2.13,1.0,50.05,106.8,86769.27025979721,47502.297630253575,39266.972629543634,103368.72852338858,-14867.091981197922,82.66331227846761,-20.676831129638966
Tallinn,2.18,1.0,50.05,109.16,87922.72474897005,47502.297630253575,40420.42711871648,105655.64729602991,-15967.866298057519,85.09152006359636,-22.191505399111815
Tallinn,2.23,1.0,50.05,111.53,89053.16976571915,47502.297630253575,41550.87213546558,107942.56606867124,-17091.81262698665,87.47128919718273,-23.751376164343
Tallinn,2.28,1.0,50.05,113.89,90158.31997348944,47502.297630253575,42656.02234323587,110229.48484131259,-18241.24759486968,89.7978086770877,-25.364279984640508
Tallinn,2.32,1.0,50.05,116.25,91238.03414647092,47502.297630253575,43735.736516217345,112516.40361395391,-19415.897189961095,92.07078120019744,-27.033304789744594
Tallinn,2.37,1.0,50.05,118.62,92294.6624347119,47502.297630253575,44792.36480445833,114803.32238659523,-20613.60891607629,94.29515421151055,-28.75740227606612
Tallinn,2.42,1.0,50.05,120.98,93328.81560397496,47502.297630253575,45826.517973721384,117090.2411592366,-21833.7697725074,96.4722134714913,-30.53885694957841
Tallinn,2.46,1.0,50.05,123.34,94340.7104357279,47502.297630253575,46838.41280547433,119377.15993187793,-23076.200459150514,98.60241534010255,-32.38105540434503
Tallinn,2.51,1.0,50.05,125.7,95331.48408673772,47502.297630253575,47829.186456484145,121664.07870451924,-24339.634165199106,100.68815371579495,-34.285110462820285
Tallinn,2.56,1.0,50.05,128.07,96302.32014309982,47502.297630253575,48800.02251284624,123950.99747716058,-25622.99707049157,102.73192023824582,-36.25246529903702
Tallinn,2.61,1.0,50.05,130.43,97253.84345084759,47502.297630253575,49751.545820594016,126237.91624980202,-26925.54364087432,104.73503030916113,-38.28550343691943
Tallinn,2.65,1.0,50.05,132.79,98187.13419714764,47502.297630253575,50684.83656689406,128524.83502244328,-28246.31531083248,106.69975789679185,-40.386023155870205
Tallinn,2.7,1.0,50.05,135.16,99102.04489532342,47502.297630253575,51599.74726506984,130811.75379508462,-29585.424783807637,108.62579251789002,-42.55877908958733
Tallinn,2.75,1.0,50.05,137.52,99999.80462707939,47502.297630253575,52497.50699682581,133098.672567726,-30941.665209235416,110.5157215877298,-44.80524014992559
Tallinn,2.79,1.0,50.05,139.88,100880.65577676329,47502.297630253575,53378.358146509716,135385.5913403673,-32314.823442713383,112.37005536446674,-47.129630521039836
Tallinn,2.84,1.0,50.05,142.25,101745.41187916188,47502.297630253575,54243.11424890831,137672.51011300864,-33704.03079029905,114.19050647007356,-49.534607103699436
Valletta,1.0,1.0,50.05,50.09,84240.88356958229,84240.88356958229,0.0,85762.52972505492,-18.93574932062877,0.0,-0.02248315291999612
Valletta,1.05,1.0,50.05,52.46,88141.06890267348,84240.88356958229,3900.1853330911836,89807.93207057641,-98.89925747820804,4.629801074996634,-0.11233169045784105
Valletta,1.1,1.0,50.05,54.82,91908.16311303483,84240.88356958229,7667.279543452532,93853.33441609786,-317.99789570913265,9.101613395495098,-0.3471965521129756
Valletta,1.14,1.0,50.05,57.18,95430.94897361132,84240.88356958229,11190.065404029025,97898.7367616193,-791.20402229959,13.283414097605137,-0.836016646818556
Valletta,1.19,1.0,50.05,59.54,98704.62980229092,84240.88356958229,14463.746232708625,101944.1391071407,-1510.456006212455,17.16950917396502,-1.5540602355255557
Valletta,1.24,1.0,50.05,61.91,101768.36566249882,84240.88356958229,17527.48209291653,105989.54145266222,-2439.6825130662287,20.806384442108765,-2.45617120423907
Valletta,1.28,1.0,50.05,64.27,104638.9946896822,84240.88356958229,20398.1111200999,110034.94379818371,-3559.930456651417,24.21402798232906,-3.5219266063289267
Valletta,1.33,1.0,50.05,66.63,107354.52448667529,84240.88356958229,23113.640917093,114080.34614370513,-4833.990879419449,27.437557558381158,-4.715144088049621
Valletta,1.38,1.0,50.05,69.0,109931.99650071854,84240.88356958229,25691.112931136246,118125.74848922662,-6245.042188652332,30.49720259630894,-6.022977750756043
Valletta,1.43,1.0,50.05,71.36,112388.86739483404,84240.88356958229,28147.98382525175,122171.15083474807,-7776.2369391691,33.41368541321358,-7.433363357080182
Valletta,1.47,1.0,50.05,73.72,114735.56535590198,84240.88356958229,30494.681786319692,126216.55318026952,-9417.122812550695,36.199385018476605,-8.94157052187171
Valletta,1.52,1.0,50.05,76.08,116977.4091161524,84240.88356958229,32736.525546570105,130261.95552579097,-11162.830137772593,38.86061513057374,-10.549425462490758
